system,section_heading,item_label,hex,css_var,token_ref,description_first_keywords,description
composio,Surface,Surface Strong,#2a2a2a,,{colors.surface-strong},dropdown menus,Dropdown menus.
composio,Hairlines,Hairline,#222222,,{colors.hairline},default 1px divider,Default 1px divider.
composio,Hairlines,Hairline Soft,#1a1a1a,,{colors.hairline-soft},lighter divider,Lighter divider.
composio,Hairlines,Hairline Strong,#333333,,{colors.hairline-strong},stronger panel outline,Stronger panel outline.
composio,Text,Ink,#ffffff,,{colors.ink},display headlines,Display headlines.
composio,Text,Body,#a8a8a8,,{colors.body},default running-text soft,Default running-text — soft gray.
composio,Text,Body Strong,#ffffff,,{colors.body-strong},same ink,Same as ink.
composio,Text,Muted,#888888,,{colors.muted},sub-titles breadcrumbs,"Sub-titles, breadcrumbs."
composio,Text,Muted Soft,#666666,,{colors.muted-soft},disabled text,Disabled text.
composio,Text,On Primary,#ffffff,,{colors.on-primary},white text blue,White text on blue CTAs.
composio,Semantic,Success,#33d17a,,{colors.semantic-success},online active indicators,"""Online"", ""active"" indicators."
composio,Semantic,Error,#ff4d4d,,{colors.semantic-error},validation errors,Validation errors.
cursor,Brand & Accent,Cursor Orange,#f54e00,,{colors.primary},primary cta pills,"Primary CTA pills, wordmark, hero accent. Used scarcely."
cursor,Brand & Accent,Cursor Orange Active,#d04200,,{colors.primary-active},press state,Press state.
cursor,Surface,Canvas,#f7f7f4,,{colors.canvas},warm cream page,Warm cream page floor.
cursor,Surface,Canvas Soft,#fafaf7,,{colors.canvas-soft},ide-pane background inside,IDE-pane background inside mockups.
cursor,Surface,Surface Card,#ffffff,,{colors.surface-card},pure white card,Pure white card surface — slight contrast against the cream canvas.
cursor,Surface,Surface Strong,#e6e5e0,,{colors.surface-strong},badges tag pills,"Badges, tag pills."
cursor,Hairlines,Hairline,#e6e5e0,,{colors.hairline},px divider,1px divider.
cursor,Hairlines,Hairline Soft,#efeee8,,{colors.hairline-soft},lighter divider,Lighter divider.
cursor,Hairlines,Hairline Strong,#cfcdc4,,{colors.hairline-strong},stronger panel outline,Stronger panel outline.
cursor,Text,Ink,#26251e,,{colors.ink},display body emphasis,"Display, body emphasis. Warm near-black."
cursor,Text,Body,#5a5852,,{colors.body},default running-text,Default running-text.
cursor,Text,Body Strong,#26251e,,{colors.body-strong},same ink,Same as ink.
cursor,Text,Muted,#807d72,,{colors.muted},sub-titles,Sub-titles.
cursor,Text,Muted Soft,#a09c92,,{colors.muted-soft},disabled text,Disabled text.
cursor,Text,On Primary,#ffffff,,{colors.on-primary},white text cursor,White text on Cursor Orange.
cursor,Timeline (AI-action signature),Thinking,#dfa88f,,{colors.timeline-thinking},peach,Peach. Used inside in-product agent timeline only.
cursor,Timeline (AI-action signature),Grep,#9fc9a2,,{colors.timeline-grep},mint,Mint.
cursor,Timeline (AI-action signature),Read,#9fbbe0,,{colors.timeline-read},pastel blue,Pastel blue.
cursor,Timeline (AI-action signature),Edit,#c0a8dd,,{colors.timeline-edit},lavender,Lavender.
cursor,Timeline (AI-action signature),Done,#c08532,,{colors.timeline-done},warm gold,Warm gold.
cursor,Semantic,Success,#1f8a65,,{colors.semantic-success},confirmation indicators,Confirmation indicators.
cursor,Semantic,Error,#cf2d56,,{colors.semantic-error},validation errors,Validation errors.
elevenlabs,Brand & Accent,Ink Primary,#292524,,{colors.primary},primary action color,The primary action color — warm near-black pill. Used scarcely.
elevenlabs,Brand & Accent,Ink Primary Active,#0c0a09,,{colors.primary-active},press state,Press state.
elevenlabs,Surface,Canvas,#f5f5f5,,{colors.canvas},off-white page floor,Off-white page floor.
elevenlabs,Surface,Canvas Soft,#fafafa,,{colors.canvas-soft},lighter band subtle,Lighter band for subtle alternating sections.
elevenlabs,Surface,Canvas Deep,#0c0a09,,{colors.canvas-deep},same ink used,Same as ink — used for the rare dark-mode hero (Agents page).
elevenlabs,Surface,Surface Card,#ffffff,,{colors.surface-card},pure white card,Pure white card.
elevenlabs,Surface,Surface Strong,#f0efed,,{colors.surface-strong},badges voice-icon plates,"Badges, voice-icon plates."
elevenlabs,Surface,Surface Dark,#0c0a09,,{colors.surface-dark},dark hero cta,Dark hero/CTA band canvas.
elevenlabs,Surface,Surface Dark Elevated,#1c1917,,{colors.surface-dark-elevated},cards dark canvas,Cards on dark canvas.
elevenlabs,Hairlines,Hairline,#e7e5e4,,{colors.hairline},default 1px divider,Default 1px divider.
elevenlabs,Hairlines,Hairline Soft,#f0efed,,{colors.hairline-soft},lighter divider,Lighter divider.
elevenlabs,Hairlines,Hairline Strong,#d6d3d1,,{colors.hairline-strong},stronger panel outline,Stronger panel outline.
elevenlabs,Text,Ink,#0c0a09,,{colors.ink},display primary text,"Display, primary text."
elevenlabs,Text,Body,#4e4e4e,,{colors.body},default running-text,Default running-text.
elevenlabs,Text,Body Strong,#292524,,{colors.body-strong},same primary emphasis,Same as primary — emphasis.
elevenlabs,Text,Muted,#777169,,{colors.muted},sub-titles,Sub-titles.
elevenlabs,Text,Muted Soft,#a8a29e,,{colors.muted-soft},disabled text,Disabled text.
elevenlabs,Text,On Primary,#ffffff,,{colors.on-primary},white text ink,White text on ink pill.
elevenlabs,Text,On Dark,#ffffff,,{colors.on-dark},white text dark,White text on dark hero.
elevenlabs,Text,On Dark Soft,#a8a29e,,{colors.on-dark-soft},muted off-white dark,Muted off-white on dark.
elevenlabs,Atmospheric Gradient Stops (signature),Gradient Mint,#a7e5d3,,{colors.gradient-mint},mint green orb,Mint green orb.
elevenlabs,Atmospheric Gradient Stops (signature),Gradient Peach,#f4c5a8,,{colors.gradient-peach},peach orb,Peach orb.
elevenlabs,Atmospheric Gradient Stops (signature),Gradient Lavender,#c8b8e0,,{colors.gradient-lavender},lavender orb,Lavender orb.
elevenlabs,Atmospheric Gradient Stops (signature),Gradient Sky,#a8c8e8,,{colors.gradient-sky},sky-blue orb,Sky-blue orb.
elevenlabs,Atmospheric Gradient Stops (signature),Gradient Rose,#e8b8c4,,{colors.gradient-rose},rose orb,Rose orb.
elevenlabs,Semantic,Success,#16a34a,,{colors.semantic-success},confirmation,Confirmation.
elevenlabs,Semantic,Error,#dc2626,,{colors.semantic-error},validation errors,Validation errors.
expo,Brand & Accent,Black,#000000,,{colors.primary},primary cta fill,Primary CTA fill. Used scarcely.
expo,Brand & Accent,Black Active,#1a1a1a,,{colors.primary-active},press state,Press state.
expo,Brand & Accent,Text Link Blue,#0d74ce,,{colors.text-link},inline body links,Inline body links inside long-form copy. Scoped narrowly — never on CTAs.
expo,Brand & Accent,Legal Link Blue,#476cff,,{colors.text-link-secondary},inline links inside,Inline links inside legal copy footer.
expo,Brand & Accent,Bright Cyan,#47c2ff,,{colors.accent-link-bright},used very sparingly,Used very sparingly inside docs widget links.
expo,Surface,Canvas,#ffffff,,{colors.canvas},pure white page,Pure white page floor.
expo,Surface,Canvas Soft,#fafafa,,{colors.canvas-soft},subtle alternating band,Subtle alternating band.
expo,Surface,Surface Card,#ffffff,,{colors.surface-card},pure white card,Pure white card.
expo,Surface,Surface Strong,#f0f0f3,,{colors.surface-strong},badges ecosystem tiles,"Badges, ecosystem tiles, secondary buttons."
expo,Surface,Surface Dark,#171717,,{colors.surface-dark},dark feature cards,"Dark feature cards, code blocks, IDE mockups, featured pricing."
expo,Surface,Surface Dark Elevated,#1a1a1a,,{colors.surface-dark-elevated},one step lighter,One step lighter inside dark cards.
expo,Atmospheric Backdrop,Sky Light,#cfe7ff,,{colors.gradient-sky-light},soft sky-blue gradient,The soft sky-blue gradient wash behind the homepage hero only. Not a brand action color.
expo,Hairlines,Hairline,#f0f0f3,,{colors.hairline},default 1px divider,Default 1px divider.
expo,Hairlines,Hairline Soft,#f5f5f7,,{colors.hairline-soft},lighter divider,Lighter divider.
expo,Hairlines,Hairline Strong,#dcdee0,,{colors.hairline-strong},stronger panel outline,Stronger panel outline.
expo,Text,Ink,#171717,,{colors.ink},display body emphasis,"Display, body emphasis."
expo,Text,Body,#60646c,,{colors.body},default running-text slightly,Default running-text — slightly cool gray.
expo,Text,Body Strong,#171717,,{colors.body-strong},same ink,Same as ink.
expo,Text,Muted,#999999,,{colors.muted},sub-titles,Sub-titles.
expo,Text,Muted Soft,#cccccc,,{colors.muted-soft},disabled text,Disabled text.
expo,Text,On Primary,#ffffff,,{colors.on-primary},white text black,White text on black CTA.
expo,Text,On Dark,#ffffff,,{colors.on-dark},white text dark,White text on dark cards.
expo,Text,On Dark Soft,#b0b4ba,,{colors.on-dark-soft},muted off-white dark,Muted off-white on dark.
expo,Semantic,Warning,#ab6400,,{colors.accent-warning},warning text inside,Warning text inside docs callouts.
expo,Semantic,Preview,#8145b5,,{colors.accent-preview},preview tag color,"""Preview"" tag color."
expo,Semantic,Success,#16a34a,,{colors.semantic-success},confirmation,Confirmation.
expo,Semantic,Error,#eb8e90,,{colors.semantic-error},validation errors,Validation errors.
ferrari,Brand & Accent,Rosso Corsa,#da291c,,{colors.primary},iconic ferrari racing,"The iconic Ferrari racing red. Primary CTA fill, Cavallino mark, F1 driver-position highlights. Used scarcely."
ferrari,Brand & Accent,Rosso Corsa Active,#b01e0a,,{colors.primary-active},press state,Press state.
ferrari,Brand & Accent,Rosso Corsa Hover-darker,#9d2211,,{colors.primary-hover},documented completeness per,Documented for completeness; per the no-hover policy this is not used in preview HTML.
ferrari,Brand & Accent,Hypersail Yellow,#fff200,,{colors.accent-yellow-hypersail},sub-brand accents reserved,Sub-brand accents reserved for the Hypersail sailing program and the global focus-ring color. Not part of the main automotive palette.
ferrari,Surface,Canvas,#181818,,{colors.canvas},near-black page floor,"Near-black page floor — never pure black, slight warmth."
ferrari,Surface,Canvas Elevated,#303030,,{colors.canvas-elevated},cards panels dark,Cards and panels on dark canvas.
ferrari,Surface,Canvas Light,#ffffff,,{colors.canvas-light},white editorial bands,"White editorial bands (preowned listings, pricing)."
ferrari,Surface,Surface Card,#303030,,{colors.surface-card},same canvas-elevated driver,"Same as canvas-elevated — driver cards, livery photo plates."
ferrari,Surface,Surface Soft Light,#f7f7f7,,{colors.surface-soft-light},light editorial alternating,Light editorial alternating band.
ferrari,Surface,Surface Strong Light,#ebebeb,,{colors.surface-strong-light},light-canvas dividers badges,"Light-canvas dividers, badges."
ferrari,Hairlines,Hairline,#303030,,{colors.hairline},px divider dark,1px divider on dark — same hex as `{colors.canvas-elevated}`.
ferrari,Hairlines,Hairline On Light,#d2d2d2,,{colors.hairline-on-light},px divider light,1px divider on light bands.
ferrari,Hairlines,Hairline Soft,#ebebeb,,{colors.hairline-soft},lighter divider,Lighter divider.
ferrari,Text,Ink,#ffffff,,{colors.ink},display body emphasis,"Display, body emphasis on dark."
ferrari,Text,Body,#969696,,{colors.body},default running-text dark,Default running-text on dark.
ferrari,Text,Body Strong,#ffffff,,{colors.body-strong},same ink,Same as ink.
ferrari,Text,Body On Light,#181818,,{colors.body-on-light},default text light,Default text on light bands.
ferrari,Text,Muted,#666666,,{colors.muted},sub-titles captions dark,"Sub-titles, captions on dark."
ferrari,Text,Muted Soft,#8f8f8f,,{colors.muted-soft},disabled link text,Disabled link text.
ferrari,Text,On Primary,#ffffff,,{colors.on-primary},white text rosso,White text on Rosso Corsa.
ferrari,Semantic,Info,#4c98b9,,{colors.semantic-info},info badges callout,"Info badges, callout backgrounds."
ferrari,Semantic,Success,#03904a,,{colors.semantic-success},confirmation,Confirmation.
ferrari,Semantic,Warning,#f13a2c,,{colors.semantic-warning},validation warnings,Validation warnings.
figma,Primary,Pure Black,#000000,,,text solid buttons,"All text, all solid buttons, all borders. The sole ""color"" of the interface."
figma,Primary,Pure White,#ffffff,,,backgrounds white buttons,"All backgrounds, white buttons, text on dark surfaces. The other half of the binary."
figma,Surface & Background,Pure White,#ffffff,,,primary page background,Primary page background and card surfaces.
figma,Surface & Background,Glass Black,,,,subtle dark overlay,Subtle dark overlay for secondary circular buttons and glass effects.
figma,Surface & Background,Glass White,,,,frosted glass overlay,Frosted glass overlay for buttons on dark/colored surfaces.
figma,Gradient System,Hero Gradient,,,,vibrant multi-stop gradient,"A vibrant multi-stop gradient using electric green, bright yellow, deep purple, and hot pink. This gradient is the visual signature of the hero section — it represents the creative possibilities of the tool."
figma,Gradient System,Product Section Gradients,,,,individual product areas,"Individual product areas (Design, Dev Mode, Prototyping) may use distinct color themes in their showcases."
framer,Primary,Pure Black,#000000,,,primary background void,"Primary background, the void canvas that defines Framer's dark-first identity"
framer,Primary,Pure White,#ffffff,,,primary text color,"Primary text color on dark surfaces, button text on accent backgrounds"
framer,Primary,Framer Blue,#0099ff,,,primary accent color,"Primary accent color — links, borders, ring shadows, interactive highlights"
framer,Secondary & Accent,Muted Silver,#a6a6a6,,,secondary text subdued,"Secondary text, subdued labels, dimmed descriptions on dark surfaces"
framer,Secondary & Accent,Near Black,#090909,,,elevated dark surface,"Elevated dark surface, shadow ring color for subtle depth separation"
framer,Surface & Background,Void Black,#000000,,,page background primary,"Page background, primary canvas"
framer,Surface & Background,Frosted White,,,,translucent button backgrounds,"Translucent button backgrounds, glass-effect surfaces on dark"
framer,Surface & Background,Subtle White,,,,slightly more opaque,Slightly more opaque frosted elements for hover states
framer,Neutrals & Text,Pure White,#ffffff,,,heading text high-emphasis,"Heading text, high-emphasis body text"
framer,Neutrals & Text,Muted Silver,#a6a6a6,,,body text descriptions,"Body text, descriptions, secondary information"
framer,Neutrals & Text,Ghost White,,,,tertiary text placeholders,"Tertiary text, placeholders on dark surfaces"
framer,Semantic & Accent,Framer Blue,#0099ff,,,links interactive borders,"Links, interactive borders, focus rings"
framer,Semantic & Accent,Blue Glow,,,,focus ring shadow,"Focus ring shadow, subtle blue halo around interactive elements"
framer,Semantic & Accent,Default Link Blue,#0000ee,,,standard browser link,Standard browser link color (used sparingly in content areas)
hashicorp,Brand Primary,Black,#000000,--mds-color-hcp-brand,,primary brand color,"Primary brand color, text on light surfaces, `--mds-color-hcp-brand`"
hashicorp,Brand Primary,Dark Charcoal,#15181e,,,dark mode backgrounds,"Dark mode backgrounds, hero sections"
hashicorp,Brand Primary,Near Black,#0d0e12,,,deepest dark mode,"Deepest dark mode surface, form inputs on dark"
hashicorp,Neutral Scale,Light Gray,#f1f2f3,,,light backgrounds subtle,"Light backgrounds, subtle surfaces"
hashicorp,Neutral Scale,Mid Gray,#d5d7db,,,borders button text,"Borders, button text on dark"
hashicorp,Neutral Scale,Cool Gray,#b2b6bd,,,border accents 0,Border accents (at 0.1–0.4 opacity)
hashicorp,Neutral Scale,Dark Gray,#656a76,--mds-form-helper-text-color,,helper text secondary,"Helper text, secondary labels, `--mds-form-helper-text-color`"
hashicorp,Neutral Scale,Charcoal,#3b3d45,,,secondary text light,"Secondary text on light, button borders"
hashicorp,Neutral Scale,Near White,#efeff1,,,primary text dark,Primary text on dark surfaces
hashicorp,Product Brand Colors,Terraform Purple,#7b42bc,--mds-color-terraform-button-background,,,`--mds-color-terraform-button-background`
hashicorp,Product Brand Colors,Vault Yellow,#ffcf25,--mds-color-vault-button-background,,,`--mds-color-vault-button-background`
hashicorp,Product Brand Colors,Waypoint Teal,#14c6cb,--mds-color-waypoint-button-background-focus,,,`--mds-color-waypoint-button-background-focus`
hashicorp,Product Brand Colors,Waypoint Teal Hover,#12b6bb,--mds-color-waypoint-button-background-hover,,,`--mds-color-waypoint-button-background-hover`
hashicorp,Product Brand Colors,Vagrant Blue,#1868f2,--mds-color-vagrant-brand,,,`--mds-color-vagrant-brand`
hashicorp,Product Brand Colors,Purple Accent,#911ced,--mds-color-palette-purple-300,,,`--mds-color-palette-purple-300`
hashicorp,Product Brand Colors,Visited Purple,#a737ff,--mds-color-foreground-action-visited,,,`--mds-color-foreground-action-visited`
hashicorp,Semantic Colors,Action Blue,#1060ff,,,primary action links,Primary action links on dark
hashicorp,Semantic Colors,Link Blue,#2264d6,,,primary links light,Primary links on light
hashicorp,Semantic Colors,Bright Blue,#2b89ff,,,active links hover,"Active links, hover accent"
hashicorp,Semantic Colors,Amber,#bb5a00,--mds-color-palette-amber-200,,warning states,"`--mds-color-palette-amber-200`, warning states"
hashicorp,Semantic Colors,Amber Light,#fbeabf,--mds-color-palette-amber-100,,warning backgrounds,"`--mds-color-palette-amber-100`, warning backgrounds"
hashicorp,Semantic Colors,Vault Faint Yellow,#fff9cf,--mds-color-vault-radar-gradient-faint-stop,,,`--mds-color-vault-radar-gradient-faint-stop`
hashicorp,Semantic Colors,Orange,#a9722e,--mds-color-unified-core-orange-6,,,`--mds-color-unified-core-orange-6`
hashicorp,Semantic Colors,Red,#731e25,--mds-color-unified-core-red-7,,error states,"`--mds-color-unified-core-red-7`, error states"
hashicorp,Semantic Colors,Navy,#101a59,--mds-color-unified-core-blue-7,,,`--mds-color-unified-core-blue-7`
hashicorp,Shadows,Micro Shadow,,,,default card button,Default card/button elevation
hashicorp,Shadows,Focus Outline,,--mds-color-focus-action-external,,systematic focus ring,`3px solid var(--mds-color-focus-action-external)` — systematic focus ring
ibm,Primary,IBM Blue 60,#0f62fe,,,singular interactive color,"The singular interactive color. Primary buttons, links, focus states, active indicators. This is the only chromatic hue in the core UI palette."
ibm,Primary,White,#ffffff,--cds-background,,page background card,"Page background, card surfaces, button text on blue, `--cds-background`."
ibm,Primary,Gray 100,#161616,--cds-text-primary,,primary text headings,"Primary text, headings, dark surface backgrounds, nav bar, footer. `--cds-text-primary`."
ibm,Neutral Scale (Gray Family),Gray 100,#161616,,,primary text headings,"Primary text, headings, dark UI chrome, footer background."
ibm,Neutral Scale (Gray Family),Gray 90,#262626,,,secondary dark surfaces,"Secondary dark surfaces, hover states on dark backgrounds."
ibm,Neutral Scale (Gray Family),Gray 80,#393939,,,tertiary dark active,"Tertiary dark, active states."
ibm,Neutral Scale (Gray Family),Gray 70,#525252,--cds-text-secondary,,secondary text helper,"Secondary text, helper text, descriptions. `--cds-text-secondary`."
ibm,Neutral Scale (Gray Family),Gray 60,#6f6f6f,,,placeholder text disabled,"Placeholder text, disabled text."
ibm,Neutral Scale (Gray Family),Gray 50,#8d8d8d,,,disabled icons muted,"Disabled icons, muted labels."
ibm,Neutral Scale (Gray Family),Gray 30,#c6c6c6,--cds-border-subtle,,borders divider lines,"Borders, divider lines, input bottom-borders. `--cds-border-subtle`."
ibm,Neutral Scale (Gray Family),Gray 20,#e0e0e0,,,subtle borders card,"Subtle borders, card outlines."
ibm,Neutral Scale (Gray Family),Gray 10,#f4f4f4,--cds-layer-01,,secondary surface background,"Secondary surface background, card fills, alternating rows. `--cds-layer-01`."
ibm,Neutral Scale (Gray Family),Gray 10 Hover,#e8e8e8,,,hover state gray,Hover state for Gray 10 surfaces.
ibm,Interactive,Blue 60,#0f62fe,--cds-link-primary,,primary interactive buttons,"Primary interactive — buttons, links, focus. `--cds-link-primary`, `--cds-button-primary`."
ibm,Interactive,Blue 70,#0043ce,--cds-link-primary-hover,,link hover state,Link hover state. `--cds-link-primary-hover`.
ibm,Interactive,Blue 80,#002d9c,,,active pressed state,Active/pressed state for blue elements.
ibm,Interactive,Blue 10,#edf5ff,,,blue tint surface,"Blue tint surface, selected row background."
ibm,Interactive,Focus Blue,#0f62fe,--cds-focus,,px inset border,`--cds-focus` — 2px inset border on focused elements.
ibm,Interactive,Focus Inset,#ffffff,--cds-focus-inset,,white inner ring,`--cds-focus-inset` — white inner ring for focus on dark backgrounds.
ibm,Support & Status,Red 60,#da1e28,--cds-support-error,,error danger,"Error, danger. `--cds-support-error`."
ibm,Support & Status,Green 50,#24a148,--cds-support-success,,success,Success. `--cds-support-success`.
ibm,Support & Status,Yellow 30,#f1c21b,--cds-support-warning,,warning,Warning. `--cds-support-warning`.
ibm,Support & Status,Blue 60,#0f62fe,--cds-support-info,,informational,Informational. `--cds-support-info`.
ibm,Dark Theme (Gray 100 Theme),Background,#161616,--cds-background,,gray 100,Gray 100 (`#161616`). `--cds-background`.
ibm,Dark Theme (Gray 100 Theme),Layer 01,#262626,,,gray 90,Gray 90 (`#262626`). Card and container surfaces.
ibm,Dark Theme (Gray 100 Theme),Layer 02,#393939,,,gray 80,Gray 80 (`#393939`). Elevated surfaces.
ibm,Dark Theme (Gray 100 Theme),Text Primary,#f4f4f4,--cds-text-primary,,gray 10,Gray 10 (`#f4f4f4`). `--cds-text-primary`.
ibm,Dark Theme (Gray 100 Theme),Text Secondary,#c6c6c6,--cds-text-secondary,,gray 30,Gray 30 (`#c6c6c6`). `--cds-text-secondary`.
ibm,Dark Theme (Gray 100 Theme),Border Subtle,#393939,--cds-border-subtle,,gray 80,Gray 80 (`#393939`). `--cds-border-subtle`.
ibm,Dark Theme (Gray 100 Theme),Interactive,#78a9ff,,,blue 40,Blue 40 (`#78a9ff`). Links and interactive elements shift lighter for contrast.
intercom,Primary,Off Black,#111111,--color-off-black,,primary text button,"`--color-off-black`, primary text, button backgrounds"
intercom,Primary,Pure White,#ffffff,--wsc-color-content-primary,,primary surface,"`--wsc-color-content-primary`, primary surface"
intercom,Primary,Warm Cream,#faf9f6,,,button backgrounds card,"Button backgrounds, card surfaces"
intercom,Primary,Fin Orange,#ff5600,--color-fin,,primary brand accent,"`--color-fin`, primary brand accent"
intercom,Primary,Report Orange,#fe4c02,--color-report-orange,,data visualization,"`--color-report-orange`, data visualization"
intercom,Report Palette,Report Blue,#65b5ff,--color-report-blue,,,`--color-report-blue`
intercom,Report Palette,Report Green,#0bdf50,--color-report-green,,,`--color-report-green`
intercom,Report Palette,Report Red,#c41c1c,--color-report-red,,,`--color-report-red`
intercom,Report Palette,Report Pink,#ff2067,--color-report-pink,,,`--color-report-pink`
intercom,Report Palette,Report Lime,#b3e01c,--color-report-lime-300,,,`--color-report-lime-300`
intercom,Report Palette,Green,#00da00,--color-green,,,`--color-green`
intercom,Report Palette,Deep Blue,#0007cb,,,deep blue accent,Deep blue accent
intercom,Neutral Scale (Warm),Black 80,#313130,--wsc-color-black-80,,dark neutral,"`--wsc-color-black-80`, dark neutral"
intercom,Neutral Scale (Warm),Black 60,#626260,--wsc-color-black-60,,mid neutral,"`--wsc-color-black-60`, mid neutral"
intercom,Neutral Scale (Warm),Black 50,#7b7b78,--wsc-color-black-50,,muted text,"`--wsc-color-black-50`, muted text"
intercom,Neutral Scale (Warm),Content Tertiary,#9c9fa5,--wsc-color-content-tertiary,,,`--wsc-color-content-tertiary`
intercom,Neutral Scale (Warm),Oat Border,#dedbd6,,,warm border color,Warm border color
intercom,Neutral Scale (Warm),Warm Sand,#d3cec6,,,light warm neutral,Light warm neutral
kraken,Primary,Kraken Purple,#7132f5,,,primary cta brand,"Primary CTA, brand accent, links"
kraken,Primary,Purple Dark,#5741d8,,,button borders outlined,"Button borders, outlined variants"
kraken,Primary,Purple Deep,#5b1ecf,,,deepest purple,Deepest purple
kraken,Primary,Purple Subtle,,,,purple 16 subtle,Purple at 16% — subtle button backgrounds
kraken,Primary,Near Black,#101114,,,primary text,Primary text
kraken,Neutral,Cool Gray,#686b82,,,primary neutral borders,"Primary neutral, borders at 24% opacity"
kraken,Neutral,Silver Blue,#9497a9,,,secondary text muted,"Secondary text, muted elements"
kraken,Neutral,White,#ffffff,,,primary surface,Primary surface
kraken,Neutral,Border Gray,#dedee5,,,divider borders,Divider borders
kraken,Semantic,Green,#149e61,,,success positive 16,Success/positive at 16% opacity for badges
kraken,Semantic,Green Dark,#026b3f,,,badge text,Badge text
lamborghini,Primary,Lamborghini Gold,#ffc000,,,signature accent color,"The signature accent color — a warm, saturated amber-gold (rgb 255, 192, 0) used exclusively for primary action buttons (""Discover More"", ""Tickets"", ""Start Configuration""). The only chromatic color in the entire interface, it ignites against the black canvas like a headlight cutting through night"
lamborghini,Primary,Pure White,#ffffff,,,primary text color,"Primary text color on dark surfaces, logo rendering, nav elements, and light-mode button fills — the voice that speaks from the darkness"
lamborghini,Secondary & Accent,Dark Gold,#917300,,,hover pressed state,"Hover/pressed state for gold buttons — a deep amber (rgb 145, 115, 0) that darkens the gold to signal interaction"
lamborghini,Secondary & Accent,Gold Text,#ffce3e,,,slightly lighter gold,"Slightly lighter gold variant (rgb 255, 206, 62) used for inline text accents and highlighted labels"
lamborghini,Secondary & Accent,Cyan Pulse,#29abe2,,,electric blue-cyan rgb,"Electric blue-cyan (rgb 41, 171, 226) appearing as an informational accent and interactive element highlight"
lamborghini,Secondary & Accent,Link Blue,#3860be,,,medium blue rgb,"Medium blue (rgb 56, 96, 190) used universally for link hover states across all text colors"
lamborghini,Surface & Background,Absolute Black,#000000,,,dominant surface color,"The dominant surface color — used for page background, hero sections, header, footer, and most containers"
lamborghini,Surface & Background,Charcoal,#202020,,,elevated dark surface,"Elevated dark surface (rgb 32, 32, 32) — the primary ""dark gray"" for cards, panels, and text containers sitting above the black canvas"
lamborghini,Surface & Background,Dark Iron,#181818,,,subtle surface variant,"Subtle surface variant (rgb 24, 24, 24) — barely distinguishable from black, used for footer and deep sections"
lamborghini,Surface & Background,Overlay Black,,,,semi-transparent overlay modals,Semi-transparent overlay for modals and video dimming
lamborghini,Surface & Background,Near White,#f8f8f8,,,rare light surface,"Rare light surface (rgb 248, 248, 248) for content blocks in white-mode sections"
lamborghini,Surface & Background,Mist,#e6e6e6,,,light gray surface,Light gray surface for secondary light-mode containers
lamborghini,Neutrals & Text,Pure White,#ffffff,,,primary text dark,"Primary text on dark backgrounds — headlines, body, nav labels"
lamborghini,Neutrals & Text,Smoke,#f5f5f5,,,secondary text dark,Secondary text on dark surfaces — slightly softer than pure white
lamborghini,Neutrals & Text,Graphite,#494949,,,dark gray text,"Dark gray text on light surfaces (rgb 73, 73, 73)"
lamborghini,Neutrals & Text,Ash,#7d7d7d,,,mid-range gray muted,"Mid-range gray for muted text, timestamps, and metadata (rgb 125, 125, 125)"
lamborghini,Neutrals & Text,Steel,#969696,,,lighter gray disabled,"Lighter gray for disabled text and subtle labels (rgb 150, 150, 150)"
lamborghini,Neutrals & Text,Slate,#666666,,,alternative mid-gray secondary,Alternative mid-gray for secondary content
lamborghini,Neutrals & Text,Iron,#555555,,,dark mid-gray body,Dark mid-gray for body text variants
lamborghini,Neutrals & Text,Shadow,#313131,,,very dark gray,Very dark gray for text on dark surfaces where white is too strong
lamborghini,Semantic & Accent,Cyan Pulse,#29abe2,,,used informational highlights,Used for informational highlights and interactive feedback
lamborghini,Semantic & Accent,Link Blue,#3860be,,,universal hover state,Universal hover state for all hyperlinks
lamborghini,Semantic & Accent,Teal Action,#1eaedb,,,button hover background,"Button hover background for transparent/ghost variants (rgb 30, 174, 219)"
linear.app,Background Surfaces,Marketing Black,#010102,,,deepest background canvas,The deepest background — the canvas for hero sections and marketing pages. Near-pure black with an imperceptible blue-cool undertone.
linear.app,Background Surfaces,Panel Dark,#0f1011,,,sidebar panel backgrounds,Sidebar and panel backgrounds. One step up from the marketing black.
linear.app,Background Surfaces,Level 3 Surface,#191a1b,,,elevated surface areas,"Elevated surface areas, card backgrounds, dropdowns."
linear.app,Background Surfaces,Secondary Surface,#28282c,,,lightest dark surface,The lightest dark surface — used for hover states and slightly elevated components.
linear.app,Text & Content,Primary Text,#f7f8f8,,,near-white barely-warm cast,"Near-white with a barely-warm cast. The default text color — not pure white, preventing eye strain on dark backgrounds."
linear.app,Text & Content,Secondary Text,#d0d6e0,,,cool silver-gray body,"Cool silver-gray for body text, descriptions, and secondary content."
linear.app,Text & Content,Tertiary Text,#8a8f98,,,muted gray placeholders,"Muted gray for placeholders, metadata, and de-emphasized content."
linear.app,Text & Content,Quaternary Text,#62666d,,,most subdued text,"The most subdued text — timestamps, disabled states, subtle labels."
linear.app,Brand & Accent,Brand Indigo,#5e6ad2,,,primary brand color,"Primary brand color — used for CTA button backgrounds, brand marks, and key interactive surfaces."
linear.app,Brand & Accent,Accent Violet,#7170ff,,,brighter variant interactive,"Brighter variant for interactive elements — links, active states, selected items."
